#{"t_start": 1753208471.752023, "env_id": "None"}
r,l,t
1586.785169,1024,4.208178
1570.987005,1024,9.846696
1462.730071,1024,14.53317
1572.65766,1024,18.955215
1522.82351,1024,24.71718
1611.304196,1024,29.118519
1468.814348,1024,33.700107
1580.096094,1024,39.349324
3.918551,9,41.530863
1518.118035,1024,46.138855
1535.869163,1024,51.633816
1618.765964,1024,56.457191
1613.727363,1024,60.945981
6.416577,9,60.965307
1548.581778,1024,66.677133
1547.406578,1024,71.281924
1501.945277,1024,75.834432
1545.213712,1024,81.622066
1558.018734,1024,86.134764
1532.273791,1024,90.844686
1576.291134,1024,96.532486
1595.190635,1024,101.094553
1555.836377,1024,106.30517
1554.176457,1024,111.493984
1611.325156,1024,116.045639
1584.907897,1024,121.471292
1451.532546,1024,126.327497
8.047918,10,126.364591
1501.260617,1024,130.966418
8.047918,10,130.989167
1578.431999,1024,136.775291
1623.006374,1024,141.399249
1517.999959,1024,145.847691
1569.438382,1024,151.58445
1546.205585,1024,156.077634
1538.800745,1024,160.716612
1596.481084,1024,166.531121
1566.232387,1024,171.396971
7.43404,9,171.418478
1596.252558,1024,176.883682
1607.169488,1024,181.964462
1514.45309,1024,186.742609
8.016569,10,186.765828
1569.231397,1024,192.665756
1511.5407,1024,197.402039
1575.994994,1024,202.003902
1504.991364,1024,207.814365
1584.190273,1024,212.437183
1481.988597,1024,217.441965
1526.202112,1024,222.868183
1569.874185,1024,227.280524
1468.493195,1024,232.543402
1577.07572,1024,237.698132
1537.219356,1024,242.388602
1412.969201,1024,248.086483
1515.202138,1024,252.66279
1549.993376,1024,257.195929
1424.720635,1024,263.331487
1562.695611,1024,267.961486
8.047918,10,267.985246
1488.917859,1024,272.430187
1520.719669,1024,278.199641
1424.547938,1024,282.627483
1501.988296,1024,287.269901
1547.409656,1024,292.800112
1600.020119,1024,297.350826
1546.249502,1024,302.473409
1465.149757,1024,307.732614
1572.879226,1024,312.297504
1315.383372,1024,317.850418
1398.167817,1024,322.651455
1370.295016,1024,327.215758
1490.452836,1024,332.88849
1442.583134,1024,337.271894
6.368922,9,337.290215
1502.343992,1024,341.671519
1548.465544,1024,347.363976
1470.615306,1024,351.914767
1375.514669,1024,356.454168
1358.232479,1024,362.096074
1450.87499,1024,366.622783
1485.403728,1024,371.052297
1285.085258,1024,376.535256
1574.801985,1024,380.932058
1387.419778,1024,385.614293
1484.540925,1024,390.922721
1614.906886,1024,395.309508
1503.387577,1024,400.162165
1482.273082,1024,405.372153
1445.429615,1024,409.761613
1293.748645,1024,414.779898
1580.473405,1024,419.959441
1508.230901,1024,424.657595
1580.787988,1024,430.384125
1481.701736,1024,435.245518
1459.958978,1024,439.842334
1534.007907,1024,445.713109
1510.199198,1024,450.377918
1510.587923,1024,455.378677
1552.164948,1024,461.074976
1354.988616,1024,465.800937
1566.977363,1024,471.157626
1512.660368,1024,476.31874
1450.990632,1024,480.842871
1568.366824,1024,486.408326
1518.328359,1024,491.120881
1513.595438,1024,495.724096
1507.752527,1024,501.419781
1437.609761,1024,505.918876
1568.400931,1024,510.406348
1525.051099,1024,516.20737
1523.245399,1024,520.687235
1583.68533,1024,525.166505
1524.040152,1024,530.920678
1477.740401,1024,535.477671
3.918551,9,535.49839
1519.933543,1024,540.394947
1463.740861,1024,545.762437
1495.624734,1024,550.335122
1449.386705,1024,555.806039
1499.786535,1024,560.922741
1369.081333,1024,565.575099
1556.532235,1024,571.534587
1435.496571,1024,576.279054
1584.041132,1024,580.904783
1470.550952,1024,586.686367
1405.362535,1024,591.209431
1486.276923,1024,596.271771
1398.871662,1024,601.799744
1320.408472,1024,606.445384
1538.313746,1024,611.881825
1538.657789,1024,617.169586
1567.202765,1024,622.375827
1400.953682,1024,628.443781
1545.010732,1024,633.308059
1405.28527,1024,638.412438
1470.72829,1024,644.069103
8.047918,10,644.102342
1505.70748,1024,648.778826
1440.897667,1024,654.792056
1447.109419,1024,659.86286
1457.92019,1024,664.686987
1450.164128,1024,670.801487
1495.622519,1024,675.677778
1495.998879,1024,681.151726
1526.606269,1024,686.860877
1554.657738,1024,691.508358
1434.30417,1024,697.647201
1569.566157,1024,702.646008
1579.400286,1024,707.406362
1544.242454,1024,713.321643
1547.248677,1024,718.063465
1454.942794,1024,723.14593
1438.59879,1024,728.842878
1401.575404,1024,733.50428
1523.545737,1024,739.036899
1587.667132,1024,744.104391
1460.57276,1024,748.788053
1442.091384,1024,754.762891
1516.405321,1024,759.523063
1525.478417,1024,764.492024
1548.446994,1024,770.216843
1520.039535,1024,775.200716
8.155003,10,775.227861
1448.621202,1024,780.696281
8.155003,10,780.732927
1531.426346,1024,786.087957
1421.202615,1024,790.931547
1515.016153,1024,796.950283
1444.128298,1024,801.801534
1379.580421,1024,807.043811
1482.909276,1024,812.908986
1381.443313,1024,817.599732
1528.384566,1024,823.238619
1441.254502,1024,828.38571
8.038719,10,828.413019
1488.0625,1024,833.093586
1333.793972,1024,839.267792
1460.572913,1024,844.317527
1434.908478,1024,849.534301
1445.55334,1024,855.212346
1419.002525,1024,859.966489
5.217567,9,859.986681
1414.121038,1024,865.688715
1406.812566,1024,870.790826
1408.323126,1024,875.614415
3.918551,9,875.636529
8.029661,10,875.667395
1519.730355,1024,881.555625
1456.718926,1024,886.295634
1502.149028,1024,891.544864
1457.636138,1024,897.22813
1352.455853,1024,901.947371
1442.152824,1024,907.691602
1477.016484,1024,912.748891
1465.845942,1024,917.414897
1525.53099,1024,923.397503
1540.102577,1024,928.060629
1489.464446,1024,932.614463
3.918551,9,932.63758
6.945427,9,932.674461
1431.73793,1024,938.416059
1523.010012,1024,942.941361
1422.119397,1024,947.708664
1482.510573,1024,953.135815
1527.077683,1024,957.730716
1524.807045,1024,962.824094
1485.306442,1024,967.891584
1470.680483,1024,972.294508
1365.94552,1024,977.695346
800.211202,604,979.426052
1534.440078,1024,983.862768
1556.966334,1024,988.332232
1421.137021,1024,994.179967
1491.345706,1024,998.637886
1521.040027,1024,1003.313215
6.416577,9,1003.342531
1544.776417,1024,1008.834038
1472.850262,1024,1013.273209
1533.792649,1024,1018.26549
1453.977853,1024,1023.566959
1505.75352,1024,1028.155872
1416.818683,1024,1033.496294
1502.51839,1024,1038.434623
1423.760119,1024,1042.93832
1536.701285,1024,1048.712808
1445.786767,1024,1053.182696
1475.803678,1024,1057.666249
1423.2781,1024,1063.300202
1570.460313,1024,1067.83809
1490.774609,1024,1072.257465
1512.498335,1024,1077.91748
1398.222771,1024,1082.37319
11.926684,18,1082.430007
1385.263955,1024,1087.153803
1420.824546,1024,1092.582912
1363.73139,1024,1096.990056
1447.659857,1024,1102.135074
1363.464216,1024,1107.358618
1419.697179,1024,1111.913941
1478.215299,1024,1117.265096
4.377165,9,1117.296954
1464.952217,1024,1122.089975
1531.039907,1024,1126.509955
1468.768709,1024,1132.130845
1461.676095,1024,1136.810986
1492.972607,1024,1141.44149
1482.277129,1024,1147.333989
1516.88009,1024,1151.932205
1438.160099,1024,1156.602535
10.187747,9,1156.640763
1440.538698,1024,1162.501541
1472.26447,1024,1167.224905
1571.339544,1024,1172.530794
1437.904127,1024,1177.844748
1409.164998,1024,1182.509558
1453.058632,1024,1188.146842
1402.108418,1024,1193.083434
1517.904443,1024,1197.698711
1472.276879,1024,1203.615897
1445.648563,1024,1208.327133
1486.388231,1024,1213.079914
1436.42791,1024,1218.816566
1498.807251,1024,1223.319829
1447.213231,1024,1228.801344
1405.876715,1024,1233.848407
1435.94565,1024,1238.395572
1406.350101,1024,1243.888978
1509.674365,1024,1248.735199
1428.982383,1024,1253.200454
1374.049141,1024,1259.020691
1463.319605,1024,1263.527479
1419.054137,1024,1268.08925
1447.547033,1024,1273.969275
1479.59874,1024,1278.618227
1345.968706,1024,1283.445529
1423.871176,1024,1288.96749
1452.365858,1024,1293.516098
7.16476,10,1293.549637
1503.09903,1024,1298.828922
1480.193859,1024,1303.862842
1474.501107,1024,1308.348539
1496.263861,1024,1313.872486
1394.665262,1024,1318.731524
1377.033832,1024,1323.286582
1470.286393,1024,1329.194147
1472.728481,1024,1333.791162
1446.276535,1024,1338.470809
456.40481,366,1342.810885
1483.848254,1024,1347.433911
1418.554959,1024,1352.307309
1397.796785,1024,1358.229109
1482.173363,1024,1362.949011
1454.054988,1024,1367.697218
1485.718,1024,1373.237956
1473.019429,1024,1377.783599
1429.187889,1024,1382.943244
1437.942312,1024,1388.30893
1491.339519,1024,1392.961182
7.873887,9,1392.982184
1435.712707,1024,1398.631815
1496.304752,1024,1403.395962
1484.209221,1024,1408.000528
1514.032009,1024,1413.914981
1478.931816,1024,1418.643568
1473.380514,1024,1423.359646
1427.572147,1024,1429.081818
1463.587042,1024,1433.917985
1471.508838,1024,1438.995417
1426.79597,1024,1444.225572
5.953418,9,1444.245473
1473.306539,1024,1448.800698
598.785167,435,1449.801744
1436.968178,1024,1455.630093
853.374882,623,1459.195218
1542.493333,1024,1463.695036
1428.346927,1024,1469.338238
1419.114883,1024,1473.837679
1.828949,9,1473.85985
1448.311693,1024,1478.374916
1474.761414,1024,1484.218494
1516.063942,1024,1488.739465
1522.068615,1024,1493.459913
1474.810797,1024,1499.025161
1470.198815,1024,1503.594575
1568.493444,1024,1508.452846
1577.566958,1024,1513.830107
1471.527381,1024,1518.494782
1478.016452,1024,1523.962097
4.484668,9,1523.98877
1341.776777,1024,1528.828371
1445.291575,1024,1533.334045
1344.772088,1024,1539.179567
7.387078,9,1539.204558
1482.852469,1024,1543.729934
1380.781551,1024,1548.217805
8.550129,9,1548.238179
1517.787018,1024,1554.050959
1435.894747,1024,1558.404719
1469.043976,1024,1562.943162
1547.689793,1024,1568.674008
1486.721823,1024,1573.285315
7.920722,8,1573.306777
1489.342293,1024,1578.401284
1536.281613,1024,1583.824867
6.416577,9,1583.84769
1485.297575,1024,1588.370818
1414.349038,1024,1593.514697
1497.405816,1024,1598.579122
1427.137055,1024,1602.993111
1532.463674,1024,1608.514074
1467.114218,1024,1613.334573
1464.690178,1024,1618.002631
1469.697512,1024,1623.786674
1462.450345,1024,1628.423052
1456.781231,1024,1632.986613
1456.821233,1024,1638.771834
1479.651378,1024,1643.389591
1495.047661,1024,1648.328124
1429.37027,1024,1653.730695
1541.728569,1024,1658.260009
1422.838395,1024,1663.360767
1439.817103,1024,1668.34994
1494.774187,1024,1672.704847
1550.846683,1024,1677.982538
1480.976529,1024,1682.78018
1478.971559,1024,1687.420369
1483.705279,1024,1693.498603
1455.98365,1024,1698.321229
1498.887021,1024,1703.042183
1459.285696,1024,1708.732516
1501.643078,1024,1713.104318
1498.065644,1024,1717.897075
1510.280345,1024,1723.238391
1532.494712,1024,1727.743352
1460.38276,1024,1732.873511
1451.303627,1024,1738.179602
1464.148864,1024,1742.779843
1490.039035,1024,1748.262359
1348.314844,1024,1753.221201
1502.837684,1024,1757.808405
1484.652509,1024,1763.57558
1410.786793,1024,1768.107037
1534.58207,1024,1772.512892
1453.76736,1024,1778.267474
1429.87558,1024,1782.772661
1427.339419,1024,1787.304619
1534.079268,1024,1792.95717
1501.290645,1024,1797.374196
1470.452528,1024,1802.114908
1539.734057,1024,1807.57234
1412.299554,1024,1812.141523
7.491168,9,1812.163422
1527.791421,1024,1817.222719
1376.363974,1024,1822.377663
1449.281077,1024,1826.866748
1590.542781,1024,1832.14351
1416.92187,1024,1836.967773
1485.86533,1024,1841.359326
1477.920021,1024,1846.916754
1440.791447,1024,1851.419911
1529.484101,1024,1855.949164
1483.086057,1024,1861.596637
1494.353207,1024,1866.098164
1498.292889,1024,1870.618341
1494.235154,1024,1876.345508
1452.141498,1024,1880.928946
1530.685184,1024,1885.415198
1452.087587,1024,1890.966971
4.950511,9,1890.986915
1550.828501,1024,1895.49917
1451.651866,1024,1900.338983
1472.635752,1024,1905.624095
1466.118586,1024,1910.007904
187.470871,157,1910.367828
1478.629036,1024,1915.541111
1455.260104,1024,1920.423302
1461.91386,1024,1924.863902
1481.955948,1024,1930.334296
1549.732385,1024,1935.024654
1380.918185,1024,1939.530046
1434.416653,1024,1945.55771
1359.179279,1024,1950.040419
1481.119826,1024,1954.44842
1448.054096,1024,1960.104719
1416.956287,1024,1964.523413
1520.89056,1024,1969.030642
8.550129,9,1969.050944
1446.60765,1024,1974.78561
1442.791481,1024,1979.268136
10.463715,9,1979.290378
1410.101648,1024,1983.96945
1525.922989,1024,1989.492554
1388.19033,1024,1993.937706
1548.768266,1024,1998.941484
1506.911288,1024,2004.38742
1517.046607,1024,2009.053244
1512.988211,1024,2014.883066
1506.598897,1024,2019.698114
1483.247194,1024,2024.25668
1461.203308,1024,2030.118955
1461.385048,1024,2034.810434
594.155049,418,2035.828908
1453.339278,1024,2041.043067
1540.162822,1024,2046.367733
8.047918,10,2046.393484
1351.691058,1024,2051.49682
1475.628289,1024,2057.456011
1020.355196,715,2061.548982
8.017006,10,2061.575437
1463.387275,1024,2066.41863
1504.700842,1024,2072.465414
1470.609113,1024,2077.320646
1383.72048,1024,2082.145179
1489.438033,1024,2087.886658
1478.767087,1024,2092.451153
1453.295218,1024,2097.68072
7.873887,9,2097.710745
1413.575897,1024,2102.763664
1469.333344,1024,2107.327515
1426.889884,1024,2113.101954
1377.902105,1024,2117.710997
1500.436323,1024,2122.275072
11.588142,15,2122.311556
1485.799804,1024,2128.147455
1493.789644,1024,2132.898935
5.109197,8,2132.91936
8.05744,11,2132.950015
1439.810348,1024,2137.85371
1448.268768,1024,2143.911247
1523.96401,1024,2148.724513
1558.849414,1024,2154.677931
8.047918,9,2154.706555
1469.020425,1024,2159.772036
1535.645884,1024,2164.530664
1503.613279,1024,2170.638344
1455.580453,1024,2175.72702
1456.963078,1024,2180.661824
10.055152,9,2180.69786
1435.489105,1024,2186.37557
1484.229877,1024,2191.088953
1575.263544,1024,2196.673134
894.508692,1024,2201.803088
1482.098971,1024,2206.492775
1506.855112,1024,2212.635153
1396.508358,1024,2217.229751
1495.029683,1024,2221.950819
1518.57554,1024,2227.946472
1396.478362,1024,2232.701658
9.67609,12,2232.731397
1489.32379,1024,2238.002683
8.047918,9,2238.031499
8.047918,10,2238.065761
8.047918,10,2238.099041
1471.002522,1024,2243.371655
1485.795735,1024,2248.052577
1496.066296,1024,2253.844203
7.344445,10,2253.888093
1473.534433,1024,2258.77831
10.846824,9,2258.815044
1507.862911,1024,2263.503811
1421.122041,1024,2269.482133
3.516973,9,2269.502457
8.330179,9,2269.522485
1427.712684,1024,2274.414737
1458.804636,1024,2279.303793
1476.644246,1024,2284.713227
7.995405,9,2284.733716
6.892708,11,2284.758426
1438.088565,1024,2289.340835
1488.744175,1024,2294.697693
1457.295733,1024,2299.742248
